drift description,tree size,after accuracy decrease precentage,faulty node index,faulty feature,fix accuracy increase precentage
car__NumericFeature[f2;-2std],59,15.116279069767435,4,f1,0.0
car__NumericFeature[f2;-1std],59,8.720930232558132,21,,2.3188405797101463
car__NumericFeature[f2;-0.5std],59,8.720930232558132,21,,2.3188405797101463
car__NumericFeature[f2;+0.5std],59,5.232558139534882,6,f2,1.449275362318847
car__NumericFeature[f2;+1std],59,5.232558139534882,6,f2,1.449275362318847
car__NumericFeature[f2;+2std],59,8.139534883720923,6,f2,4.637681159420293
car__NumericFeature[f4;-2std],59,23.83720930232558,2,f6,0.0
car__NumericFeature[f4;-1std],59,11.046511627906973,11,f5,0.0
car__NumericFeature[f4;-0.5std],59,0.0,29,,0.0
car__NumericFeature[f4;+0.5std],59,0.0,29,,0.0
car__NumericFeature[f4;+1std],59,17.441860465116278,6,f2,0.0
car__NumericFeature[f4;+2std],59,16.860465116279066,6,f2,0.0
car__NumericFeature[f3;-2std],59,4.069767441860462,10,f6,0.0
car__NumericFeature[f3;-1std],59,1.1627906976744207,29,,0.5797101449275366
car__NumericFeature[f3;-0.5std],59,0.5813953488372103,29,,0.0
car__NumericFeature[f3;+0.5std],59,0.0,29,,0.0
car__NumericFeature[f3;+1std],59,-1.744186046511631,11,f5,0.0
car__NumericFeature[f3;+2std],59,-0.5813953488372103,11,f5,0.0
car__NumericFeature[f1;-2std],59,11.627906976744185,4,f1,11.304347826086946
car__NumericFeature[f1;-1std],59,8.139534883720923,16,,0.0
car__NumericFeature[f1;-0.5std],59,8.139534883720923,16,,0.0
car__NumericFeature[f1;+0.5std],59,8.139534883720923,11,f5,0.0
car__NumericFeature[f1;+1std],59,8.139534883720923,11,f5,0.0
car__NumericFeature[f1;+2std],59,16.279069767441857,4,f1,11.884057971014494
caradiotocography10clases__NumericFeature[f1;-2std],39,1.8867924528301883,17,,0.0
caradiotocography10clases__NumericFeature[f1;-1std],39,1.4150943396226356,17,,0.0
caradiotocography10clases__NumericFeature[f1;-0.5std],39,0.4716981132075415,17,,0.0
caradiotocography10clases__NumericFeature[f1;+0.5std],39,0.9433962264150941,17,,0.0
